Long,Lat,,,
150.87426,-33.825658,,"{lng: 150.87426, lat: -33.825658},","150.87426 -33.825658,"
150.873895,-33.825437,,"{lng: 150.873895, lat: -33.825437},","150.873895 -33.825437,"
150.873652,-33.824662,,"{lng: 150.873652, lat: -33.824662},","150.873652 -33.824662,"
150.871008,-33.823872,,"{lng: 150.871008, lat: -33.823872},","150.871008 -33.823872,"
150.86669,-33.823119,,"{lng: 150.86669, lat: -33.823119},","150.86669 -33.823119,"
150.858805,-33.821092,,"{lng: 150.858805, lat: -33.821092},","150.858805 -33.821092,"
150.856433,-33.820772,,"{lng: 150.856433, lat: -33.820772},","150.856433 -33.820772,"
150.835057,-33.820657,,"{lng: 150.835057, lat: -33.820657},","150.835057 -33.820657,"
150.827664,-33.820741,,"{lng: 150.827664, lat: -33.820741},","150.827664 -33.820741,"
150.812973,-33.82236,,"{lng: 150.812973, lat: -33.82236},","150.812973 -33.82236,"
150.812515,-33.822748,,"{lng: 150.812515, lat: -33.822748},","150.812515 -33.822748,"
150.812532,-33.823478,,"{lng: 150.812532, lat: -33.823478},","150.812532 -33.823478,"
150.81199,-33.823955,,"{lng: 150.81199, lat: -33.823955},","150.81199 -33.823955,"
150.81145,-33.825369,,"{lng: 150.81145, lat: -33.825369},","150.81145 -33.825369,"
150.820777,-33.826672,,"{lng: 150.820777, lat: -33.826672},","150.820777 -33.826672,"
150.818988,-33.835223,,"{lng: 150.818988, lat: -33.835223},","150.818988 -33.835223,"
150.823499,-33.8359,,"{lng: 150.823499, lat: -33.8359},","150.823499 -33.8359,"
150.815055,-33.87952,,"{lng: 150.815055, lat: -33.87952},","150.815055 -33.87952,"
150.808013,-33.880619,,"{lng: 150.808013, lat: -33.880619},","150.808013 -33.880619,"
150.807855,-33.880765,,"{lng: 150.807855, lat: -33.880765},","150.807855 -33.880765,"
150.807657,-33.880641,,"{lng: 150.807657, lat: -33.880641},","150.807657 -33.880641,"
150.797147,-33.880867,,"{lng: 150.797147, lat: -33.880867},","150.797147 -33.880867,"
150.793342,-33.880699,,"{lng: 150.793342, lat: -33.880699},","150.793342 -33.880699,"
150.791033,-33.880177,,"{lng: 150.791033, lat: -33.880177},","150.791033 -33.880177,"
150.786037,-33.879662,,"{lng: 150.786037, lat: -33.879662},","150.786037 -33.879662,"
150.784745,-33.879206,,"{lng: 150.784745, lat: -33.879206},","150.784745 -33.879206,"
150.782264,-33.877954,,"{lng: 150.782264, lat: -33.877954},","150.782264 -33.877954,"
150.780965,-33.877507,,"{lng: 150.780965, lat: -33.877507},","150.780965 -33.877507,"
