Long,Lat,,,
151.037021,-33.739677,"{ lat: -33.739677, lng: 151.037021},","151.037021 -33.739677,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.037021, -33.739677, geography::STPointFromText('POINT(151.037021 -33.739677)', 4326));"
151.035569,-33.73847,"{ lat: -33.73847, lng: 151.035569},","151.035569 -33.73847,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.035569, -33.73847, geography::STPointFromText('POINT(151.035569 -33.73847)', 4326));"
151.035077,-33.738265,"{ lat: -33.738265, lng: 151.035077},","151.035077 -33.738265,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.035077, -33.738265, geography::STPointFromText('POINT(151.035077 -33.738265)', 4326));"
151.034414,-33.738106,"{ lat: -33.738106, lng: 151.034414},","151.034414 -33.738106,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.034414, -33.738106, geography::STPointFromText('POINT(151.034414 -33.738106)', 4326));"
151.032694,-33.738077,"{ lat: -33.738077, lng: 151.032694},","151.032694 -33.738077,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.032694, -33.738077, geography::STPointFromText('POINT(151.032694 -33.738077)', 4326));"
151.031382,-33.736944,"{ lat: -33.736944, lng: 151.031382},","151.031382 -33.736944,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.031382, -33.736944, geography::STPointFromText('POINT(151.031382 -33.736944)', 4326));"
151.030492,-33.735852,"{ lat: -33.735852, lng: 151.030492},","151.030492 -33.735852,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.030492, -33.735852, geography::STPointFromText('POINT(151.030492 -33.735852)', 4326));"
151.028629,-33.734096,"{ lat: -33.734096, lng: 151.028629},","151.028629 -33.734096,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.028629, -33.734096, geography::STPointFromText('POINT(151.028629 -33.734096)', 4326));"
151.026935,-33.732754,"{ lat: -33.732754, lng: 151.026935},","151.026935 -33.732754,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.026935, -33.732754, geography::STPointFromText('POINT(151.026935 -33.732754)', 4326));"
151.025181,-33.732174,"{ lat: -33.732174, lng: 151.025181},","151.025181 -33.732174,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025181, -33.732174, geography::STPointFromText('POINT(151.025181 -33.732174)', 4326));"
151.023452,-33.732253,"{ lat: -33.732253, lng: 151.023452},","151.023452 -33.732253,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.023452, -33.732253, geography::STPointFromText('POINT(151.023452 -33.732253)', 4326));"
151.02046,-33.731454,"{ lat: -33.731454, lng: 151.02046},","151.02046 -33.731454,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.02046, -33.731454, geography::STPointFromText('POINT(151.02046 -33.731454)', 4326));"
