Long,Lat,,,
151.008007,-33.569213,0,,"{ lng: 151.008007, lat: -33.569213 },"
151.008093,-33.568541,0,,"{ lng: 151.008093, lat: -33.568541 },"
151.008377,-33.567846,0,,"{ lng: 151.008377, lat: -33.567846 },"
151.01133,-33.563361,0,,"{ lng: 151.01133, lat: -33.563361 },"
151.011659,-33.562576,0,,"{ lng: 151.011659, lat: -33.562576 },"
151.01153,-33.561659,0,,"{ lng: 151.01153, lat: -33.561659 },"
151.010854,-33.559253,0,,"{ lng: 151.010854, lat: -33.559253 },"
151.010426,-33.55844,0,,"{ lng: 151.010426, lat: -33.55844 },"
151.008893,-33.556286,0,,"{ lng: 151.008893, lat: -33.556286 },"
151.008703,-33.555631,0,,"{ lng: 151.008703, lat: -33.555631 },"
151.008769,-33.554745,0,,"{ lng: 151.008769, lat: -33.554745 },"
151.00901,-33.554205,0,,"{ lng: 151.00901, lat: -33.554205 },"
151.009887,-33.553038,0,,"{ lng: 151.009887, lat: -33.553038 },"
151.012809,-33.549901,0,,"{ lng: 151.012809, lat: -33.549901 },"
151.013255,-33.548858,0,,"{ lng: 151.013255, lat: -33.548858 },"
151.013044,-33.548101,0,,"{ lng: 151.013044, lat: -33.548101 },"
151.010278,-33.544968,0,,"{ lng: 151.010278, lat: -33.544968 },"
151.010076,-33.544334,0,,"{ lng: 151.010076, lat: -33.544334 },"
151.010451,-33.543405,0,,"{ lng: 151.010451, lat: -33.543405 },"
151.01206,-33.541866,0,,"{ lng: 151.01206, lat: -33.541866 },"
151.013465,-33.53903,0,,"{ lng: 151.013465, lat: -33.53903 },"
151.01364,-33.538356,0,,"{ lng: 151.01364, lat: -33.538356 },"
151.013577,-33.537648,0,,"{ lng: 151.013577, lat: -33.537648 },"
151.011743,-33.534457,0,,"{ lng: 151.011743, lat: -33.534457 },"
151.011112,-33.532643,0,,"{ lng: 151.011112, lat: -33.532643 },"
151.011136,-33.532042,0,,"{ lng: 151.011136, lat: -33.532042 },"
151.011507,-33.531338,0,,"{ lng: 151.011507, lat: -33.531338 },"
151.012168,-33.530852,0,,"{ lng: 151.012168, lat: -33.530852 },"
151.016783,-33.528195,0,,"{ lng: 151.016783, lat: -33.528195 },"
151.018105,-33.526746,0,,"{ lng: 151.018105, lat: -33.526746 },"
151.018731,-33.526279,0,,"{ lng: 151.018731, lat: -33.526279 },"
151.022596,-33.524804,0,,"{ lng: 151.022596, lat: -33.524804 },"
151.024317,-33.523663,0,,"{ lng: 151.024317, lat: -33.523663 },"
151.02591,-33.521283,0,,"{ lng: 151.02591, lat: -33.521283 },"
151.028367,-33.518629,0,,"{ lng: 151.028367, lat: -33.518629 },"
151.029006,-33.51758,0,,"{ lng: 151.029006, lat: -33.51758 },"
151.02911,-33.516999,0,,"{ lng: 151.02911, lat: -33.516999 },"
151.02902,-33.516473,0,,"{ lng: 151.02902, lat: -33.516473 },"
151.028702,-33.515933,0,,"{ lng: 151.028702, lat: -33.515933 },"
151.027201,-33.514116,0,,"{ lng: 151.027201, lat: -33.514116 },"
151.026299,-33.510932,0,,"{ lng: 151.026299, lat: -33.510932 },"
151.02332,-33.506802,0,,"{ lng: 151.02332, lat: -33.506802 },"
151.022914,-33.505979,0,,"{ lng: 151.022914, lat: -33.505979 },"
151.022762,-33.504747,0,,"{ lng: 151.022762, lat: -33.504747 },"
151.023307,-33.50075,0,,"{ lng: 151.023307, lat: -33.50075 },"
151.023306,-33.49991,0,,"{ lng: 151.023306, lat: -33.49991 },"
151.023027,-33.498966,0,,"{ lng: 151.023027, lat: -33.498966 },"
151.021504,-33.495589,0,,"{ lng: 151.021504, lat: -33.495589 },"
151.021391,-33.494798,0,,"{ lng: 151.021391, lat: -33.494798 },"
151.021559,-33.493171,0,,"{ lng: 151.021559, lat: -33.493171 },"
151.021235,-33.49216,0,,"{ lng: 151.021235, lat: -33.49216 },"
151.020737,-33.491626,0,,"{ lng: 151.020737, lat: -33.491626 },"
151.019798,-33.49117,0,,"{ lng: 151.019798, lat: -33.49117 },"
151.019027,-33.491035,0,,"{ lng: 151.019027, lat: -33.491035 },"
151.017011,-33.491058,0,,"{ lng: 151.017011, lat: -33.491058 },"
151.01587,-33.490514,0,,"{ lng: 151.01587, lat: -33.490514 },"
151.014077,-33.487965,0,,"{ lng: 151.014077, lat: -33.487965 },"
151.010182,-33.483461,0,,"{ lng: 151.010182, lat: -33.483461 },"
151.00992,-33.482751,0,,"{ lng: 151.00992, lat: -33.482751 },"
151.009918,-33.481575,0,,"{ lng: 151.009918, lat: -33.481575 },"
151.010851,-33.479639,0,,"{ lng: 151.010851, lat: -33.479639 },"
151.011085,-33.47872,0,,"{ lng: 151.011085, lat: -33.47872 },"
151.011019,-33.478108,0,,"{ lng: 151.011019, lat: -33.478108 },"
151.010063,-33.476614,0,,"{ lng: 151.010063, lat: -33.476614 },"
151.009856,-33.475916,0,,"{ lng: 151.009856, lat: -33.475916 },"
151.009895,-33.475286,0,,"{ lng: 151.009895, lat: -33.475286 },"
151.010598,-33.47343,0,,"{ lng: 151.010598, lat: -33.47343 },"
151.010444,-33.472194,0,,"{ lng: 151.010444, lat: -33.472194 },"
151.009918,-33.471446,0,,"{ lng: 151.009918, lat: -33.471446 },"
151.009093,-33.470899,0,,"{ lng: 151.009093, lat: -33.470899 },"
151.008224,-33.469747,0,,"{ lng: 151.008224, lat: -33.469747 },"
151.0064,-33.468142,0,,"{ lng: 151.0064, lat: -33.468142 },"
151.005073,-33.466078,0,,"{ lng: 151.005073, lat: -33.466078 },"
151.005035,-33.46549,0,,"{ lng: 151.005035, lat: -33.46549 },"
151.005415,-33.464923,0,,"{ lng: 151.005415, lat: -33.464923 },"
151.005422,-33.464626,0,,"{ lng: 151.005422, lat: -33.464626 },"
151.003971,-33.462643,0,,"{ lng: 151.003971, lat: -33.462643 },"
151.002959,-33.460116,0,,"{ lng: 151.002959, lat: -33.460116 },"
151.002055,-33.457439,0,,"{ lng: 151.002055, lat: -33.457439 },"
151.001445,-33.453854,0,,"{ lng: 151.001445, lat: -33.453854 },"
151.000514,-33.453284,0,,"{ lng: 151.000514, lat: -33.453284 },"
150.99898,-33.451962,0,,"{ lng: 150.99898, lat: -33.451962 },"
150.998345,-33.450606,0,,"{ lng: 150.998345, lat: -33.450606 },"
150.997935,-33.450048,0,,"{ lng: 150.997935, lat: -33.450048 },"
150.996338,-33.448763,0,,"{ lng: 150.996338, lat: -33.448763 },"
150.994555,-33.4469,0,,"{ lng: 150.994555, lat: -33.4469 },"
